Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Flexão,1,1759148840508654,7,-2,18,64,-6,-3,3,1
1,Flexão,1,1759148840508654,5,11,2,-34,-17,3,0,1
1,Flexão,1,1759148840514336,-3,-7,-6,4,12,-2,-4,-3
1,Flexão,1,1759148840514336,-16,-20,11,13,-15,-6,-6,-7
1,Flexão,1,1759148840521644,2,5,-27,-24,9,3,2,2
1,Flexão,1,1759148840521644,2,5,4,1,-10,1,1,0
1,Flexão,1,1759148840529887,-4,5,24,-8,-15,-1,-1,-2
1,Flexão,1,1759148840529887,7,20,51,25,10,3,2,2
1,Flexão,1,1759148840544933,-7,-27,-76,-56,-25,-4,-7,-7
1,Flexão,1,1759148840544933,-7,-24,-1,20,5,0,-2,-3
1,Flexão,1,1759148840544933,4,3,-3,-16,4,2,0,0
1,Flexão,1,1759148840544933,5,-4,4,13,5,-2,-1,0
1,Flexão,1,1759148840568468,2,23,44,20,7,0,2,-1
1,Flexão,1,1759148840568468,-5,-3,-13,-2,1,-3,-3,-3
1,Flexão,1,1759148840569476,-3,-6,-25,-19,-7,-2,-1,-1
1,Flexão,1,1759148840569476,-13,-22,-17,-3,-2,1,-2,-4
1,Flexão,1,1759148840581508,4,0,9,-4,-1,4,1,1
1,Flexão,1,1759148840581508,-2,-1,-9,-6,-4,-2,-3,1
1,Flexão,1,1759148840589520,7,18,36,20,11,7,4,3
1,Flexão,1,1759148840589520,0,10,-17,0,4,1,0,-2
1,Flexão,1,1759148840604686,-6,-10,3,-10,-3,-2,-4,-3
1,Flexão,1,1759148840604686,1,6,15,-3,-3,1,0,0
1,Flexão,1,1759148840619569,2,-2,-12,-5,-9,-2,-2,1
1,Flexão,1,1759148840619569,-8,-10,-13,-9,-3,-6,-5,-6
1,Flexão,1,1759148840627197,11,9,14,38,16,2,1,2
1,Flexão,1,1759148840627197,0,-5,-28,-50,-11,-3,0,0
1,Flexão,1,1759148840628208,-1,-1,13,14,-11,-5,2,1
1,Flexão,1,1759148840628208,-6,-4,-10,13,23,-2,-3,-2
1,Flexão,1,1759148840640931,9,4,15,7,5,0,3,3
1,Flexão,1,1759148840640931,2,8,23,10,4,2,1,0
1,Flexão,1,1759148840648663,-4,-6,-20,-19,-7,-4,-3,-3
1,Flexão,1,1759148840648663,0,-12,-17,-30,-26,-4,-1,0
1,Flexão,1,1759148840672896,-7,-6,-2,11,8,-1,-2,-3
1,Flexão,1,1759148840672896,2,9,12,19,9,3,4,1
1,Flexão,1,1759148840673896,3,-1,7,0,9,3,0,1
1,Flexão,1,1759148840673896,0,-3,-4,-5,-3,0,-3,-2
1,Flexão,1,1759148840686941,-4,-5,3,-13,-24,-2,-3,-1
1,Flexão,1,1759148840686941,10,9,1,12,8,0,3,3
1,Flexão,1,1759148840687987,-4,-8,-11,-16,-4,-4,-2,-4
1,Flexão,1,1759148840687987,0,4,1,13,3,-1,0,0
1,Flexão,1,1759148840702488,0,3,-9,-8,-11,-6,-2,-2
1,Flexão,1,1759148840702488,3,4,9,-16,2,2,2,1
1,Flexão,1,1759148840709042,0,-5,-3,-4,2,-3,1,1
1,Flexão,1,1759148840709042,4,3,10,25,-1,1,1,1
1,Flexão,1,1759148840725301,-6,3,-2,-29,-3,-7,-4,-4
1,Flexão,1,1759148840725301,3,-8,-5,5,-6,-3,-1,1
1,Flexão,1,1759148840731859,2,3,-3,4,4,1,0,0
1,Flexão,1,1759148840731859,2,4,11,2,-1,-1,2,1
1,Flexão,1,1759148840746797,-4,-3,4,-2,0,-1,-2,-1
1,Flexão,1,1759148840746797,-10,-10,-18,-8,-7,-4,-4,-6
1,Flexão,1,1759148840747806,-3,-2,-5,-5,-2,-2,-3,-1
1,Flexão,1,1759148840747806,1,-1,5,13,-2,3,-1,1
1,Flexão,1,1759148840760949,0,1,1,-17,-3,8,1,1
1,Flexão,1,1759148840760949,-2,0,0,13,4,0,1,0
1,Flexão,1,1759148840785287,0,5,4,8,-3,1,0,-2
1,Flexão,1,1759148840785287,-8,-7,-12,-19,-7,-6,-3,-2
1,Flexão,1,1759148840787802,5,5,-3,1,10,2,4,2
1,Flexão,1,1759148840787802,-1,7,19,28,4,0,0,-1
1,Flexão,1,1759148840788878,-5,-11,-23,-28,-9,-4,-1,-4
1,Flexão,1,1759148840788878,3,0,-2,-14,9,1,0,1
1,Flexão,1,1759148840806628,-5,-6,2,9,-2,1,0,-2
1,Flexão,1,1759148840806628,-1,0,2,10,9,-2,-1,-2
1,Flexão,1,1759148840807635,-2,10,22,21,4,2,0,0
1,Flexão,1,1759148840807635,0,-10,-17,-27,-10,-2,-1,-2
1,Flexão,1,1759148840837912,0,3,-14,-12,-10,-3,-3,1
1,Flexão,1,1759148840837912,5,-2,17,17,8,2,2,1
1,Flexão,1,1759148840838907,-1,-5,-10,-10,-2,0,0,0
1,Flexão,1,1759148840838907,-7,-12,-26,-20,-8,-1,-2,-4
1,Flexão,1,1759148840844906,1,2,11,24,15,0,-1,-1
1,Flexão,1,1759148840844906,-1,0,-8,-25,-31,-1,0,1
1,Flexão,1,1759148840844906,2,3,3,17,23,1,1,3
1,Flexão,1,1759148840844906,1,6,21,18,1,1,0,1
1,Flexão,1,1759148840867289,-2,-4,-11,-3,2,-3,-1,-1
1,Flexão,1,1759148840867289,-7,-3,-5,-3,1,-2,-4,-2
