Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Extensão,1,1762976944816942,-3,-1,3,6,7,-23,1,-2
1,Extensão,1,1762976944816942,4,2,0,-3,-8,-33,-5,-3
1,Extensão,1,1762976944833160,-2,0,-1,-8,-12,45,-4,-9
1,Extensão,1,1762976944833160,-2,-1,6,11,-29,-4,-5,-3
1,Extensão,1,1762976944835160,-4,-6,-2,-22,-33,35,10,5
1,Extensão,1,1762976944835160,0,1,9,8,12,35,-26,-10
1,Extensão,1,1762976944846834,5,4,8,9,26,-29,22,24
1,Extensão,1,1762976944846834,1,0,1,-9,-4,24,8,0
1,Extensão,1,1762976944855313,-1,1,5,-3,-1,-31,-9,-2
1,Extensão,1,1762976944855313,1,3,4,14,-3,41,20,9
1,Extensão,1,1762976944870715,3,5,5,-1,-24,-33,-3,-3
1,Extensão,1,1762976944870715,-4,1,0,-7,3,-22,-10,-1
1,Extensão,1,1762976944877174,1,-1,2,5,-3,27,9,1
1,Extensão,1,1762976944877174,1,2,6,-11,-10,-6,-3,5
1,Extensão,1,1762976944893859,-2,-2,2,0,-6,16,-7,-9
1,Extensão,1,1762976944893859,-2,0,6,4,-3,3,2,0
1,Extensão,1,1762976944894869,-1,-1,-5,-7,4,-18,-4,-9
1,Extensão,1,1762976944894869,0,3,9,20,-9,-5,20,17
1,Extensão,1,1762976944907304,-1,-1,2,-11,-15,13,-4,-4
1,Extensão,1,1762976944907304,-1,1,4,1,-4,-24,-9,-1
1,Extensão,1,1762976944916111,5,2,8,7,13,-6,0,0
1,Extensão,1,1762976944916111,-2,-2,-2,-15,-12,-5,-9,-3
1,Extensão,1,1762976944930099,-5,-5,-1,8,7,4,-7,-7
1,Extensão,1,1762976944930099,1,0,5,7,-2,15,6,0
1,Extensão,1,1762976944937266,-3,0,0,-8,-9,-11,-3,-2
1,Extensão,1,1762976944937266,-4,-5,-6,14,4,0,-1,0
1,Extensão,1,1762976944952480,-2,1,8,5,1,3,-2,-1
1,Extensão,1,1762976944952480,-4,-5,-9,11,22,-16,-1,-4
1,Extensão,1,1762976944959772,-3,-5,-19,-22,-2,-3,0,1
1,Extensão,1,1762976944959772,-5,-3,-3,-16,-5,9,-5,-5
1,Extensão,1,1762976944966948,-3,-7,-18,-6,1,2,-2,-4
1,Extensão,1,1762976944966948,3,5,13,27,70,-1,5,4
1,Extensão,1,1762976944975999,0,1,-2,0,-7,3,1,1
1,Extensão,1,1762976944975999,0,-2,-5,2,28,8,0,-4
1,Extensão,1,1762976944990136,-1,-1,-6,-5,2,-22,-5,-2
1,Extensão,1,1762976944990136,-2,-5,-11,-12,-6,-21,1,-2
1,Extensão,1,1762976944997540,-2,0,-2,5,-12,-13,-7,-2
1,Extensão,1,1762976944997540,-2,-2,-9,-2,33,25,3,-1
1,Extensão,1,1762976945013254,-1,-1,-4,-2,1,-63,-10,-5
1,Extensão,1,1762976945013254,-1,-1,-5,4,19,37,2,7
1,Extensão,1,1762976945019534,0,-2,-2,-2,-8,6,6,1
1,Extensão,1,1762976945019534,-2,-1,-4,10,-12,-1,-7,0
1,Extensão,1,1762976945026974,-2,-1,-5,-15,-21,32,26,5
1,Extensão,1,1762976945026974,-3,-1,-3,-2,-22,1,-22,-15
1,Extensão,1,1762976945035879,7,3,7,18,41,-14,4,16
1,Extensão,1,1762976945035879,-5,-4,-1,5,15,12,5,-3
1,Extensão,1,1762976945050491,-6,-3,-8,-10,-9,34,-10,-4
1,Extensão,1,1762976945050491,-1,-2,-3,1,-12,-20,0,-4
1,Extensão,1,1762976945057264,-3,1,-2,-18,-23,-16,-8,-1
1,Extensão,1,1762976945057264,3,1,-2,-12,4,-24,3,8
1,Extensão,1,1762976945073151,1,0,5,19,31,11,4,2
1,Extensão,1,1762976945073151,-1,-3,-3,-10,-16,-14,-2,1
1,Extensão,1,1762976945080157,-1,-3,-3,-2,1,-6,3,-5
1,Extensão,1,1762976945080157,0,0,0,-8,1,-12,-8,-7
1,Extensão,1,1762976945095881,3,0,5,8,-7,-1,-1,1
1,Extensão,1,1762976945095881,-6,-7,-7,-19,-13,-4,-7,-2
1,Extensão,1,1762976945098245,1,1,7,2,-17,-24,-3,-4
1,Extensão,1,1762976945098245,-4,-5,-10,-13,14,4,-1,-3
1,Extensão,1,1762976945110880,2,0,3,23,-6,22,-1,0
1,Extensão,1,1762976945110880,0,1,2,-2,36,-19,0,-1
1,Extensão,1,1762976945117234,-4,-4,0,-4,-30,13,2,-3
1,Extensão,1,1762976945117234,-1,-1,1,-5,-38,-28,-10,-2
1,Extensão,1,1762976945141120,5,7,6,18,48,-27,-2,0
1,Extensão,1,1762976945141120,-3,-2,-3,-4,-6,62,21,-4
1,Extensão,1,1762976945142326,0,-2,-1,-4,19,-21,-1,-4
1,Extensão,1,1762976945142326,2,2,5,-1,-12,-9,13,8
1,Extensão,1,1762976945154516,-4,-3,-5,-12,-11,13,-12,-6
1,Extensão,1,1762976945154516,3,1,3,13,-6,-26,2,2
1,Extensão,1,1762976945163508,-2,-2,-4,-4,16,9,-8,-5
1,Extensão,1,1762976945163508,-2,-3,-1,4,1,32,6,-2
1,Extensão,1,1762976945178276,-3,-4,-6,-26,1,-17,1,-1
1,Extensão,1,1762976945178276,2,4,2,-1,-18,-25,-4,1
1,Extensão,1,1762976945180275,-3,-3,1,37,16,49,2,-1
1,Extensão,1,1762976945180275,3,3,-1,-4,8,-25,-11,0
1,Extensão,1,1762976945201022,2,0,-1,-12,-6,2,9,4
1,Extensão,1,1762976945201022,0,-3,-4,-11,-2,-46,-13,-2
1,Extensão,1,1762976945202359,2,1,0,7,0,83,9,4
1,Extensão,1,1762976945202359,0,0,6,6,5,-42,6,1
1,Extensão,1,1762976945214183,-4,-3,-2,3,-1,-14,-2,-6
1,Extensão,1,1762976945214183,1,0,-1,-1,-3,16,-3,-1
1,Extensão,1,1762976945223575,-2,-3,-4,-19,-21,-22,-3,-1
1,Extensão,1,1762976945223575,-1,-1,2,20,10,22,0,-3
1,Extensão,1,1762976945239023,0,2,3,-12,-22,2,-5,-2
1,Extensão,1,1762976945239023,0,-4,-1,-9,4,-11,4,5
