Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Flexão,1,1758635369288682,-1,0,-18,-14,-3,0,-30,-1
1,Flexão,1,1758635369288682,-1,2,-1,1,-3,-2,-1,-1
1,Flexão,1,1758635369309100,-1,1,-8,-14,-1,2,2,-2
1,Flexão,1,1758635369309100,-2,-9,-7,12,1,0,2,-1
1,Flexão,1,1758635369311088,-1,3,11,8,-4,-4,4,-2
1,Flexão,1,1758635369311088,-1,2,5,-15,-2,-3,0,-1
1,Flexão,1,1758635369331468,2,2,-1,16,0,0,-5,1
1,Flexão,1,1758635369331468,-1,-2,-11,-28,3,1,0,0
1,Flexão,1,1758635369333702,0,-1,16,35,0,-3,2,-1
1,Flexão,1,1758635369333702,-2,-4,-6,-6,-4,-1,-1,0
1,Flexão,1,1758635369346150,1,2,11,9,5,8,5,2
1,Flexão,1,1758635369346150,-1,1,-2,-5,2,2,-3,-2
1,Flexão,1,1758635369348683,-1,-1,9,12,3,3,5,1
1,Flexão,1,1758635369348683,-2,-3,-20,-18,-7,-8,-2,-1
1,Flexão,1,1758635369369094,-1,1,6,18,0,10,-2,-2
1,Flexão,1,1758635369369094,-1,1,7,-38,0,-7,-19,-1
1,Flexão,1,1758635369371088,-1,-1,-9,-4,-5,0,-3,-2
1,Flexão,1,1758635369371088,-2,-2,6,4,2,-4,0,-1
1,Flexão,1,1758635369391943,-2,-3,-7,-19,-4,-7,-5,-2
1,Flexão,1,1758635369391943,0,2,5,-6,-4,-2,2,0
1,Flexão,1,1758635369392940,-1,2,16,52,3,0,3,-2
1,Flexão,1,1758635369392940,2,0,2,4,3,6,1,0
1,Flexão,1,1758635369406060,-3,-4,-7,-10,-1,2,6,-1
1,Flexão,1,1758635369406060,1,2,-1,11,0,-3,3,-1
1,Flexão,1,1758635369412746,1,2,8,-37,-6,-5,-1,-1
1,Flexão,1,1758635369412746,-2,-5,-8,-1,-6,-13,2,1
1,Flexão,1,1758635369429009,-2,-5,-17,-4,-4,6,-4,-4
1,Flexão,1,1758635369429009,-1,5,12,0,0,-4,2,0
1,Flexão,1,1758635369430933,0,-2,-2,6,3,0,-1,0
1,Flexão,1,1758635369430933,2,-1,3,3,0,4,-3,-3
1,Flexão,1,1758635369451928,-2,-7,-18,-11,-4,-10,-2,1
1,Flexão,1,1758635369451928,-2,-2,-13,-3,-7,-2,24,-1
1,Flexão,1,1758635369452975,2,7,25,-32,3,3,-26,0
1,Flexão,1,1758635369452975,-4,-5,-29,51,3,5,47,0
1,Flexão,1,1758635369465381,0,-1,10,6,-2,-5,-1,-1
1,Flexão,1,1758635369465381,1,0,7,-8,-1,4,2,0
1,Flexão,1,1758635369472680,1,-2,2,0,4,0,-1,2
1,Flexão,1,1758635369472680,-1,-3,-1,-14,-1,0,-16,-1
1,Flexão,1,1758635369490168,-1,1,5,18,2,0,-3,-1
1,Flexão,1,1758635369490168,0,0,5,-6,1,2,2,0
1,Flexão,1,1758635369491049,1,-3,-16,13,-3,-2,7,-1
1,Flexão,1,1758635369491049,2,2,4,-16,-7,1,-13,0
1,Flexão,1,1758635369512434,0,-2,-3,2,2,2,6,0
1,Flexão,1,1758635369512434,0,-2,-5,-5,-1,-5,-12,0
1,Flexão,1,1758635369513457,-3,1,5,-16,-3,-1,4,-1
1,Flexão,1,1758635369513457,0,-2,2,7,3,3,-3,0
1,Flexão,1,1758635369525480,-1,-2,2,-3,1,0,-3,-1
1,Flexão,1,1758635369525480,-1,-2,-10,0,0,2,-3,-1
1,Flexão,1,1758635369533374,-1,-2,-3,-8,-6,-17,4,0
1,Flexão,1,1758635369533374,-1,2,4,12,5,18,-1,-1
1,Flexão,1,1758635369549326,1,2,9,-11,-4,-7,-25,-1
1,Flexão,1,1758635369549326,-1,-3,3,8,3,-1,-5,0
1,Flexão,1,1758635369551339,-2,-3,4,4,-4,3,7,0
1,Flexão,1,1758635369551339,-2,-3,-11,-18,-3,-11,-14,0
1,Flexão,1,1758635369572110,0,2,1,7,1,2,6,1
1,Flexão,1,1758635369572110,0,0,4,5,-2,3,1,0
1,Flexão,1,1758635369573027,1,-2,-49,2,1,0,-2,-1
1,Flexão,1,1758635369573027,-1,-2,16,-8,-1,-1,53,-9
1,Flexão,1,1758635369585950,-4,-4,3,2,-4,-5,-1,-3
1,Flexão,1,1758635369585950,1,-3,-19,-5,-3,-3,-1,-2
1,Flexão,1,1758635369593515,-1,2,5,2,-1,1,13,-1
1,Flexão,1,1758635369593515,-1,0,8,4,-2,0,-18,3
1,Flexão,1,1758635369609300,1,0,-10,-4,2,-1,3,1
1,Flexão,1,1758635369609300,-1,1,5,-32,-2,-1,0,-3
1,Flexão,1,1758635369611347,-1,-2,1,29,0,3,-11,-1
1,Flexão,1,1758635369611347,-1,-2,4,-9,-2,-19,-9,-2
1,Flexão,1,1758635369631920,-1,-1,7,-20,-1,15,0,0
1,Flexão,1,1758635369631920,-1,-3,-8,9,-2,-7,-6,2
1,Flexão,1,1758635369633424,0,2,11,19,7,7,2,-1
1,Flexão,1,1758635369633424,0,1,-2,-39,-5,-3,-9,1
1,Flexão,1,1758635369645726,-1,0,2,23,1,-3,10,-1
1,Flexão,1,1758635369645726,-1,-1,-4,-17,-2,1,0,-1
1,Flexão,1,1758635369652918,0,-3,9,32,-2,-2,0,-1
1,Flexão,1,1758635369652918,1,2,4,10,6,0,-5,2
1,Flexão,1,1758635369669755,-1,-4,2,-9,-4,-4,-38,-2
1,Flexão,1,1758635369669755,0,2,4,-6,-2,1,-1,0
1,Flexão,1,1758635369670754,-3,-1,18,-12,-6,-6,1,0
1,Flexão,1,1758635369670754,-1,0,-10,-3,1,4,-8,0
1,Flexão,1,1758635369692285,0,-1,-8,5,0,-2,8,-1
1,Flexão,1,1758635369692285,-1,-1,8,4,-2,-1,1,-1
1,Flexão,1,1758635369693163,2,1,0,-8,4,4,2,0
1,Flexão,1,1758635369693163,-2,0,-13,62,8,0,-6,-4
1,Flexão,1,1758635369714226,1,-2,-4,-17,-14,-7,6,-1
1,Flexão,1,1758635369714226,-2,-1,4,28,4,4,1,2
1,Flexão,1,1758635369715298,-1,1,-5,-15,-1,-2,2,0
1,Flexão,1,1758635369715298,1,-1,-3,-8,0,4,-4,0
1,Flexão,1,1758635369729899,-1,2,1,-1,1,-12,3,-2
1,Flexão,1,1758635369729899,0,-2,-13,3,1,18,-5,-1
1,Flexão,1,1758635369730850,0,-4,-3,-10,-1,-8,0,-1
1,Flexão,1,1758635369730850,-1,0,3,-19,-5,2,-3,0
1,Flexão,1,1758635369751572,0,2,15,20,2,-2,3,-1
1,Flexão,1,1758635369751572,-1,-1,-27,-20,0,-3,4,0
1,Flexão,1,1758635369753607,-4,-6,16,-26,-3,2,-3,-3
1,Flexão,1,1758635369753607,-2,0,-13,-43,-7,-6,-4,-1
1,Flexão,1,1758635369766634,0,1,-2,18,4,-1,3,1
1,Flexão,1,1758635369766634,0,2,2,-6,0,-4,-1,0
1,Flexão,1,1758635369773161,-1,-2,-5,-3,-3,1,0,0
1,Flexão,1,1758635369773161,0,-3,1,-4,1,0,0,-2
1,Flexão,1,1758635369788843,-2,1,-3,-15,-2,3,2,0
1,Flexão,1,1758635369788843,-1,-2,0,5,-3,-5,-3,-2
1,Flexão,1,1758635369790446,1,2,11,1,5,2,-2,-1
1,Flexão,1,1758635369790446,0,-2,-7,-3,-2,3,0,1
1,Flexão,1,1758635369812069,1,4,8,7,5,-1,2,-1
1,Flexão,1,1758635369812069,0,-1,4,-6,1,-2,1,-1
1,Flexão,1,1758635369812994,0,-1,1,-1,-3,-11,-28,-3
1,Flexão,1,1758635369812994,0,4,14,7,2,6,-1,1
1,Flexão,1,1758635369824982,-2,-4,-3,9,4,6,2,-2
1,Flexão,1,1758635369824982,1,1,-5,-8,-4,-11,-4,0
1,Flexão,1,1758635369834712,2,-1,-6,10,2,8,6,1
1,Flexão,1,1758635369834712,1,-1,4,-5,-1,-8,0,-1
1,Flexão,1,1758635369849471,-1,2,-6,-4,-1,3,-3,0
1,Flexão,1,1758635369849471,-1,-7,4,1,-1,6,3,-2
1,Flexão,1,1758635369850730,-3,2,-1,-2,0,-1,4,-1
1,Flexão,1,1758635369850730,0,0,-27,-21,-3,-1,-1,1
1,Flexão,1,1758635369871367,-3,-3,9,7,-5,-6,3,-4
1,Flexão,1,1758635369871367,-1,1,-1,24,4,0,0,0
1,Flexão,1,1758635369878361,1,0,-7,-4,-4,0,2,-1
1,Flexão,1,1758635369878361,1,0,7,2,2,1,-2,1
1,Flexão,1,1758635369885921,1,-1,-7,-9,-1,3,0,2
1,Flexão,1,1758635369885921,0,1,-1,-3,-5,-5,-3,-1
1,Flexão,1,1758635369894778,1,-1,-4,18,3,-1,1,-2
1,Flexão,1,1758635369894778,-1,-1,8,9,1,-1,0,-3
1,Flexão,1,1758635369909692,1,0,-3,-8,-1,-2,1,1
1,Flexão,1,1758635369909692,-2,-3,-5,-11,-1,2,0,0
1,Flexão,1,1758635369910710,-1,-1,8,22,1,-2,3,0
1,Flexão,1,1758635369910710,-2,-1,7,15,-2,-2,-1,-1
1,Flexão,1,1758635369931883,-3,-5,-41,-32,-6,-4,-3,1
1,Flexão,1,1758635369931883,1,1,16,2,4,-5,-1,-1
1,Flexão,1,1758635369933787,-1,-1,-6,-6,-3,15,3,2
1,Flexão,1,1758635369933787,-3,-4,3,0,1,-10,-3,-3
1,Flexão,1,1758635369945694,1,-1,11,10,1,4,-2,-1
1,Flexão,1,1758635369945694,0,0,-6,-12,-5,-4,-1,0
