Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Flexão,1,1759150217389294,-2,-2,1,10,1,-6,-4,-2
1,Flexão,1,1759150217389294,2,2,-3,-1,12,6,3,2
1,Flexão,1,1759150217390295,2,4,-8,-1,-3,-4,1,2
1,Flexão,1,1759150217390295,-1,-2,6,23,14,2,0,-1
1,Flexão,1,1759150217412710,0,-1,-1,-16,4,-7,-3,0
1,Flexão,1,1759150217412710,3,7,-3,-8,-8,6,5,2
1,Flexão,1,1759150217413667,-1,-6,-3,-10,-10,2,-1,-2
1,Flexão,1,1759150217413667,-3,0,3,18,5,-2,-3,-1
1,Flexão,1,1759150217426943,2,1,-6,-6,-6,-1,-2,-1
1,Flexão,1,1759150217426943,-2,-5,-3,-2,-2,-3,-6,-4
1,Flexão,1,1759150217427903,-1,1,2,3,6,0,-3,-3
1,Flexão,1,1759150217427903,1,1,0,5,3,-1,2,-1
1,Flexão,1,1759150217448850,-1,-4,-3,3,3,1,1,-1
1,Flexão,1,1759150217448850,-1,-1,7,20,14,2,-2,-3
1,Flexão,1,1759150217450357,5,3,-19,-62,-22,-3,4,5
1,Flexão,1,1759150217450357,-6,-10,-4,-7,-15,-1,-3,-4
1,Flexão,1,1759150217472365,0,7,11,13,-14,0,0,2
1,Flexão,1,1759150217472365,-2,3,6,-4,-7,0,-3,0
1,Flexão,1,1759150217473271,-1,2,7,30,21,1,0,1
1,Flexão,1,1759150217473271,1,1,-6,-5,18,-1,-1,-2
1,Flexão,1,1759150217486132,0,1,-1,-18,-8,-4,-1,-3
1,Flexão,1,1759150217486132,-1,-4,2,5,2,0,0,-1
1,Flexão,1,1759150217487672,0,-3,-1,14,13,-1,0,0
1,Flexão,1,1759150217487672,-2,-12,-10,-5,30,-9,-5,-1
1,Flexão,1,1759150217509319,0,2,3,8,-33,9,4,2
1,Flexão,1,1759150217509319,-5,-3,-4,-38,-42,-7,-3,-5
1,Flexão,1,1759150217510334,-1,-1,-5,12,-2,-2,-1,-2
1,Flexão,1,1759150217510334,-1,0,-1,-3,1,0,0,0
1,Flexão,1,1759150217532586,1,-2,0,9,20,-5,-2,-1
1,Flexão,1,1759150217532586,1,2,-2,-2,13,0,-1,0
1,Flexão,1,1759150217533585,-1,-6,-8,-6,-7,-1,-2,-2
1,Flexão,1,1759150217533585,5,9,4,12,5,4,3,2
1,Flexão,1,1759150217546595,-3,1,6,14,16,-7,-7,-4
1,Flexão,1,1759150217546595,1,-7,-17,-29,-22,-3,3,2
1,Flexão,1,1759150217547655,1,-2,-3,9,7,9,1,0
1,Flexão,1,1759150217547655,3,8,6,-4,-19,0,1,1
1,Flexão,1,1759150217568889,-1,-3,-6,-6,8,3,1,-2
1,Flexão,1,1759150217568889,-2,-3,2,11,10,0,-2,-2
1,Flexão,1,1759150217570453,-1,0,2,8,8,-4,0,-1
1,Flexão,1,1759150217570453,-1,3,5,-3,2,1,1,-3
1,Flexão,1,1759150217592544,-1,1,4,-3,7,-1,2,0
1,Flexão,1,1759150217592544,-1,-2,5,12,-4,-1,1,1
1,Flexão,1,1759150217593594,2,0,1,11,-12,-4,-1,0
1,Flexão,1,1759150217593594,-2,-6,-12,-51,-34,3,3,2
1,Flexão,1,1759150217606359,-3,-5,-7,-6,2,-3,-4,-2
1,Flexão,1,1759150217606359,3,5,5,8,15,1,0,0
1,Flexão,1,1759150217614117,1,3,8,-2,1,3,-1,-1
1,Flexão,1,1759150217614117,-2,0,3,16,13,3,-1,-1
1,Flexão,1,1759150217628876,-1,-2,0,0,-4,-7,-1,-2
1,Flexão,1,1759150217628876,3,6,0,15,11,8,2,3
1,Flexão,1,1759150217629871,-3,-4,-4,-27,-18,-10,-2,-3
1,Flexão,1,1759150217629871,-3,2,4,6,12,-4,-4,-4
1,Flexão,1,1759150217652220,2,-3,-6,13,3,7,2,3
1,Flexão,1,1759150217652220,-3,2,9,-11,-6,3,-2,-1
1,Flexão,1,1759150217652220,-1,2,1,12,7,-8,-4,0
1,Flexão,1,1759150217652220,-3,-10,-12,2,2,-4,-4,-2
1,Flexão,1,1759150217665825,0,2,6,-5,12,0,0,0
1,Flexão,1,1759150217665825,-2,1,-4,10,-1,1,1,-2
1,Flexão,1,1759150217674771,-3,-3,-1,8,3,3,-1,-1
1,Flexão,1,1759150217674771,-3,-7,-5,-19,-17,-6,-3,-2
1,Flexão,1,1759150217689838,-1,5,2,20,7,0,-2,-2
1,Flexão,1,1759150217689838,1,-3,-4,-7,0,-1,1,0
1,Flexão,1,1759150217690852,1,-3,-4,-13,-5,2,-1,-1
1,Flexão,1,1759150217690852,4,2,2,24,-6,-4,0,1
1,Flexão,1,1759150217713000,1,-4,-7,-31,-16,-2,-4,-1
1,Flexão,1,1759150217713000,-1,0,6,9,-1,-4,-2,1
1,Flexão,1,1759150217713000,0,1,1,-8,-2,-1,-1,-3
1,Flexão,1,1759150217713000,-1,0,2,7,21,1,3,-1
